"Lab_Number"	"Catalog_Number"	"Box"	"Grid"	"Level"	"Identification"	"NISP"
"35993_JG-253"	"not cataloged"	"1"	"B-1"	"4"	"Wood"	"1"
"35993_JG-254"	"not cataloged"	"1"	"B-1"	"4"	"Juniperus californica"	"1"
"35993_JG-255"	"not cataloged"	"1"	"B-1"	"4"	"Quercus dumosa"	"1"
"35993_JG-256"	"not cataloged"	"1"	"B-1"	"4"	"Rock"	"1"
"35993_JG-257"	"not cataloged"	"1"	"B-1"	"4"	"Rock"	"5"
"35993_JG-258"	"LACMP23-37524"	"1"	"B-1"	"4"	"Pinus ponderosa"	"1"
"35993_JG-259"	"not cataloged"	"1"	"B-1"	"4"	"Wood"	"3"
"35993_JG-260"	"not cataloged"	"1"	"B-1"	"4"	"Barbarea orthoceras"	"4"
"35993_JG-261"	"not cataloged"	"1"	"B-1"	"4"	"Rock"	"1"
"35986_JG-262"	"not cataloged"	"1"	"A-1"	"5"	"Alnus rhombifolia"	"1"
"35986_JG-263"	"LACMP23-37525"	"1"	"A-1"	"5"	"Juniperus californica"	"3"
"35986_JG-264"	"LACMP23-37526"	"1"	"A-1"	"5"	"Platanus racemosa"	"1"
"35986_JG-265"	"LACMP23-37527"	"1"	"A-1"	"5"	"Juniperus sp."	"26"
"35986_JG-266"	"LACMP23-37528"	"1"	"A-1"	"5"	"Juniperus sp."	"24"
"35986_JG-267"	"LACMP23-37529"	"1"	"A-1"	"5"	"Juniperus californica"	"7"
"35986_JG-268"	"not cataloged"	"1"	"A-1"	"5"	"Rock"	"5"
"35986_JG-269"	"LACMP23-37530"	"1"	"A-1"	"5"	"Malosma laurina"	"1"
"35986_JG-270"	"not cataloged"	"1"	"A-1"	"5"	"Salvia apiana"	"3"
"35986_JG-271"	"not cataloged"	"1"	"A-1"	"5"	"Coleogyne ramosissima"	"1"
"35986_JG-272"	"not cataloged"	"1"	"A-1"	"5"	"Malosma laurina"	"1"
"35986_JG-273"	"not cataloged"	"1"	"A-1"	"5"	"Allium atrorubens"	"2"
"35986_JG-274"	"not cataloged"	"1"	"A-1"	"5"	"Sambucus nigra"	"3"
"35986_JG-275"	"not cataloged"	"1"	"A-1"	"5"	"Salvia columbariae"	"1"
"35986_JG-276"	"not cataloged"	"1"	"A-1"	"5"	"Rhus integrifolia"	"1"
"35986_JG-277"	"not cataloged"	"1"	"A-1"	"5"	"Astragalus accidens"	"1"
"35986_JG-278"	"not cataloged"	"1"	"A-1"	"5"	"Bone"	"1"
"35986_JG-279"	"not cataloged"	"1"	"A-1"	"5"	"Persicaria punctata"	"1"
"35986_JG-280"	"not cataloged"	"1"	"A-1"	"5"	"Bone"	"1"
"35986_JG-281"	"not cataloged"	"1"	"A-1"	"5"	"Trichostema lanceolatum"	"3"
"35986_JG-282"	"not cataloged"	"1"	"A-1"	"5"	"Sisyrinchium bellum"	"1"
"35986_JG-283"	"not cataloged"	"1"	"A-1"	"5"	"Barbarea orthoceras"	"1"
"35986_JG-284"	"not cataloged"	"1"	"A-1"	"5"	"Bone"	"1"
"35990_JG-285"	"LACMP23-37531"	"1"	"A-2"	"5"	"Platanus racemosa"	"82"
"35990_JG-286"	"not cataloged"	"1"	"A-2"	"5"	"Angelica tomentosa"	"2"
"35990_JG-287"	"not cataloged"	"1"	"A-2"	"5"	"Quercus agrifolia"	"1"
"35990_JG-288"	"LACMP23-37532"	"1"	"A-2"	"5"	"Juniperus californica"	"12"
"35990_JG-289"	"LACMP23-37533"	"1"	"A-2"	"5"	"Juniperus sp."	"130"
"35990_JG-290"	"LACMP23-37534"	"1"	"A-2"	"5"	"Juniperus sp."	"53"
"35990_JG-291"	"not cataloged"	"1"	"A-2"	"5"	"Quercus garryana"	"1"
"35990_JG-292"	"not cataloged"	"1"	"A-2"	"5"	"Juniperus californica"	"1"
