"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"Element_original"	"Notes"	"Last.ID.revision"	"Museum_Number"	"prelim_taxon_name"	"box"
"1882"	"NSF-18-05"	"B1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus "	"sp"	"upper right tooth"	""	""	"LACMP23-35556"	"Sylvilagus  sp"	"7b"
"1883"	"NSF-18-06"	"B1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus "	"sp"	"upper left P2"	""	""	"LACMP23-35557"	"Sylvilagus  sp"	"7b"
"1884"	"NSF-18-07"	"B1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus "	"sp"	"upper left tooth"	""	""	"LACMP23-35558"	"Sylvilagus  sp"	"7b"
"1885"	"NSF-18-08"	"B1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"cf Sylvilagus "	""	"left anterior dentary frag"	""	""	"LACMP23-35559"	"Mammalia-Lagomorpha"	"7b"
"1886"	"NSF-18-09"	"B1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus "	"sp"	"tooth frag"	""	""	"LACMP23-35560"	"Sylvilagus  sp"	"7b"
"1887"	"NSF-18-10"	"B1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus "	"sp"	"tooth frag"	""	""	"LACMP23-35561"	"Sylvilagus  sp"	"7b"
"1888"	"NSF-18-11"	"B1/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"partial juvi tooth"	""	""	"LACMP23-35562"	"Geomyidae/Heteromyidae"	"7b"
"1889"	"NSF-18-12"	"B1/L1"	"Mammalia"	"Carnivora"	""	""	""	""	"upper lt. M1 frag"	"2 associated frags, Bassariscus??"	"9/27/2018"	"LACMP23-37335"	"Mammalia-Carnivora"	"7b"
"1890"	"NSF-18-14"	"B1/L1"	"Mammalia"	"Carnivora"	"Mephitidae"	""	"cf Mephitis"	"mephitis"	"upper lt. P3 frag"	""	"9/27/2018"	"LACMP23-35563"	"cf Mephitis mephitis"	"7b"
"1891"	"NSF-18-15"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower left m1"	""	""	"LACMP23-35564"	"Mammalia-Rodentia"	"7b"
"1892"	"NSF-18-16"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"lower left m2"	""	""	"LACMP23-35565"	"Mammalia-Rodentia"	"7b"
"1893"	"NSF-18-17"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"sp"	"lower right m2"	""	""	"LACMP23-35566"	"Reithrodontomys sp"	"7b"
"1894"	"NSF-18-18"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"sp"	"upper left M2"	""	""	"LACMP23-35567"	"Reithrodontomys sp"	"7b"
"1895"	"NSF-18-19"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf megalotis"	"lower left m1"	""	""	"LACMP23-35568"	"Reithrodontomys cf megalotis"	"7b"
"1896"	"NSF-18-20"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"sp"	"lower right m2"	""	""	"LACMP23-35569"	"Reithrodontomys sp"	"7b"
"1897"	"NSF-18-21"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"molar frag"	""	""	"LACMP23-35570"	"Cricetidae (Neotominae)"	"7b"
"1898"	"NSF-18-22"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	""	""	"left anterior dentary frag"	""	""	"LACMP23-35571"	"Cricetidae (Neotominae)"	"7b"
"1899"	"NSF-18-23"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"cf Neotominae"	""	""	"right anterior dentary frag"	""	""	"LACMP23-35572"	"Cricetidae (cf Neotominae)"	"7b"
"1900"	"NSF-18-24"	"B1/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"cf Arvicolinae"	"Microtus"	""	"right anterior dentary frag"	""	""	"LACMP23-35573"	"Mammalia-Rodentia"	"7b"
"1901"	"NSF-18-25"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower right m2"	""	""	"LACMP23-35574"	"Mammalia-Rodentia"	"7b"
"1902"	"NSF-18-26"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower right m2"	""	""	"LACMP23-35575"	"Mammalia-Rodentia"	"7b"
"1903"	"NSF-18-27"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma sp"	""	"upper right M2"	""	""	"LACMP23-35576"	"Mammalia-Rodentia"	"7b"
"1904"	"NSF-18-28"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"upper right M1"	""	""	"LACMP23-35577"	"Microtus sp"	"7b"
"1905"	"NSF-18-29"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"tooth frag"	""	""	"LACMP23-35578"	"Microtus sp"	"7b"
"1906"	"NSF-18-30"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower right m3"	""	""	"LACMP23-35579"	"Microtus sp"	"7b"
"1907"	"NSF-18-31"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"tooth frag"	""	""	"LACMP23-35580"	"Microtus sp"	"7b"
"1908"	"NSF-18-32"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m1 frag"	""	""	"LACMP23-35581"	"Microtus sp"	"7b"
"1909"	"NSF-18-33"	"A2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m3"	""	""	"LACMP23-35582"	"Microtus sp"	"7b"
"1910"	"NSF-18-34"	"A2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"cf Sylvilagus"	""	"tooth frag"	""	""	"LACMP23-35583"	"Mammalia-Lagomorpha"	"7b"
"1911"	"NSF-18-35"	"A2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"upper tooth frag"	""	""	"LACMP23-35584"	"Sylvilagus sp"	"7b"
"1912"	"NSF-18-36"	"A2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"upper right tooth"	""	""	"LACMP23-35585"	"Sylvilagus sp"	"7b"
"1913"	"NSF-18-37"	"A2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"lower right tooth"	""	""	"LACMP23-35586"	"Sylvilagus sp"	"7b"
"1914"	"NSF-18-38"	"A2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"upper left tooth"	""	""	"LACMP23-35587"	"Sylvilagus sp"	"7b"
"1915"	"NSF-18-39"	"A2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"partial upper tooth"	""	""	"LACMP23-35588"	"Sylvilagus sp"	"7b"
"1916"	"NSF-18-40"	"A2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"cf Sylvilagus"	""	"left anterior dentary frag"	""	""	"LACMP23-35589"	"Mammalia-Lagomorpha"	"7b"
"1917"	"NSF-18-41"	"A2/L1"	"Mammalia"	"Eulipotyphla"	"Soricidae"	"Soricinae"	""	""	"dentary frag"	"two molariform teeth"	""	"LACMP23-35590"	"Soricidae (Soricinae)"	"7b"
"1918"	"NSF-18-42"	"A2/L1"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"cf Otospermophilus"	"beecheyi"	"upper left M1/M2 frag"	""	""	"LACMP23-35591"	"cf Otospermophilus beecheyi"	"7b"
"1919"	"NSF-18-43"	"A2/L1"	"Mammalia"	"Rodentia"	"Geomyidae"	"Thomomyinae"	"Thomomys"	"sp"	"lower right m1/m2"	""	""	"LACMP23-35592"	"Thomomys sp"	"7b"
"1920"	"NSF-18-44"	"A2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"juvi tooth"	""	""	"LACMP23-35593"	"Geomyidae/Heteromyidae"	"7b"
"1921"	"NSF-18-45"	"A2/L1"	"Mammalia"	"Rodentia"	"Geomyidae"	"Thomomyinae"	"Thomomys"	"sp"	"partial P4/p4"	""	""	"LACMP23-35594"	"Thomomys sp"	"7b"
"1922"	"NSF-18-46"	"A2/L1"	"Mammalia"	"Rodentia"	"cf Geomyidae"	"Thomomyinae"	"Thomomys"	""	"upper right M1/M2"	"heavily weathered, gnawed?"	""	"LACMP23-35595"	"Mammalia-Rodentia"	"7b"
"1923"	"NSF-18-47"	"A2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	""	""	"LACMP23-35596"	"Geomyidae/Heteromyidae"	"7b"
"1924"	"XXXX"	"A2/L1"	"Mammalia"	""	""	""	""	""	""	""	""	""	"Mammalia-"	"7b"
"1925"	"NSF-18-48"	"A2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"cf Sylvilagus"	""	"juvi tooth frag"	""	""	"LACMP23-35597"	"Mammalia-Lagomorpha"	"7b"
"1926"	"NSF-18-49"	"A3/L2"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"juvi tooth"	""	""	"LACMP23-35598"	"Geomyidae/Heteromyidae"	"7b"
"1927"	"NSF-18-50"	"A3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"upper left M1"	""	""	"LACMP23-35599"	"Mammalia-Rodentia"	"7b"
"1928"	"NSF-18-51"	"A3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"sp"	"lower right m2"	""	""	"LACMP23-35600"	"Reithrodontomys sp"	"7b"
"1929"	"NSF-18-52"	"A3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m2"	""	""	"LACMP23-35601"	"Microtus sp"	"7b"
"1930"	"NSF-18-53"	"A3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"molar frag"	""	""	"LACMP23-35602"	"Microtus sp"	"7b"
"1931"	"NSF-18-54"	"A3/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf Microtus"	""	"molar frag"	""	""	"LACMP23-35603"	"Mammalia-Rodentia"	"7b"
"1932"	"NSF-18-55"	"A2/L2"	"Mammalia"	"Rodentia"	"Geomyidae"	"Thomomyinae"	"Thomomys"	"sp"	"upper left M1/M2"	""	""	"LACMP23-35604"	"Thomomys sp"	"7b"
"1933"	"NSF-18-56"	"A2/L2"	"Mammalia"	"Rodentia"	"Geomyidae"	"Thomomyinae"	"Thomomys"	"sp"	"P4/p4 frag"	""	""	"LACMP23-35605"	"Thomomys sp"	"7b"
"1934"	"NSF-18-57"	"A2/L2"	"Mammalia"	"Rodentia"	"cf Heteromyidae"	"Dipodomyinae"	"cf Dipodomys"	""	"molar"	"juvi?"	""	"LACMP23-35606"	"Mammalia-Rodentia"	"7b"
"1935"	"NSF-18-58"	"A2/L2"	"Mammalia"	"Rodentia"	"cf Geomyidae/Heteromyidae"	""	""	""	"tooth frag"	"juvi, strange shape"	""	"LACMP23-35607"	"cf Geomyidae/Heteromyidae"	"7b"
"1936"	"NSF-18-59"	"A2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"audubonii"	"lower left p3"	"juv"	"9/28/2018"	"LACMP23-35608"	"Sylvilagus audubonii"	"7b"
"1937"	"NSF-18-60"	"A2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"lower tooth frag"	""	""	"LACMP23-35609"	"Sylvilagus sp"	"7b"
"1938"	"NSF-18-61"	"A2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"upper right M1/M2 frag"	""	""	"LACMP23-35610"	"Sciuridae"	"7b"
"1939"	"NSF-18-62"	"A2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m1"	""	""	"LACMP23-35611"	"Microtus sp"	"7b"
"1940"	"NSF-18-63"	"A2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf Microtus"	""	"molar frag"	""	""	"LACMP23-35612"	"Mammalia-Rodentia"	"7b"
"1941"	"NSF-18-64"	"A2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"right m1 frag"	""	""	"LACMP23-35613"	"Microtus sp"	"7b"
"1942"	"NSF-18-65"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"audubonii"	"lower right p3"	""	""	"LACMP23-35614"	"Sylvilagus audubonii"	"7b"
"1943"	"NSF-18-66"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"lower right tooth"	""	""	"LACMP23-35615"	"Sylvilagus sp"	"7b"
"1944"	"NSF-18-67"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"upper right tooth"	""	""	"LACMP23-35616"	"Sylvilagus sp"	"7b"
"1945"	"NSF-18-68"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"upper right P2"	""	""	"LACMP23-35617"	"Sylvilagus sp"	"7b"
"1946"	"NSF-18-69"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"audubonii"	"partial lower right p3"	""	""	"LACMP23-35618"	"Sylvilagus audubonii"	"7b"
"1947"	"NSF-18-70"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"audubonii"	"partial lower right p3"	""	""	"LACMP23-35619"	"Sylvilagus audubonii"	"7b"
"1948"	"NSF-18-71"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"upper tooth frag"	""	""	"LACMP23-35620"	"Sylvilagus sp"	"7b"
"1949"	"NSF-18-72"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"cf Sylvilagus"	""	"upper tooth frag"	""	""	"LACMP23-35621"	"Mammalia-Lagomorpha"	"7b"
"1950"	"NSF-18-73"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"sp"	"lower right tooth frag"	""	""	"LACMP23-35622"	"Sylvilagus sp"	"7b"
"1951"	"NSF-18-74"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"lower left m2"	""	""	"LACMP23-35623"	"Neotoma sp"	"7b"
"1952"	"NSF-18-75"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"upper right M1"	""	""	"LACMP23-35624"	"Neotoma sp"	"7b"
"1953"	"NSF-18-76"	"B2/L1"	"Mammalia"	"Carnivora"	""	""	""	""	"unerupted upper molar frag"	"juv."	"9/27/2018"	"LACMP23-35625"	"Mammalia-Carnivora"	"7b"
"1954"	"NSF-18-77"	"B2/L1"	"Mammalia"	"Carnivora"	"Mephitidae"	""	"Mephitis"	"mephitis"	"lower rt. p3"	""	"9/27/2018"	"LACMP23-35626"	"Mephitis mephitis"	"7b"
"1955"	"NSF-18-78"	"B2/L1"	"Mammalia"	"Eulipotyphla"	"Soricidae"	"Soricinae"	""	""	"upper right maxillary frag w/ P4"	""	""	"LACMP23-35627"	"Soricidae (Soricinae)"	"7b"
"1956"	"NSF-18-79"	"B2/L1"	"Mammalia"	"Artiodactyla"	"Antilocapridae"	""	"Capromeryx"	"minor"	"molariform tooth frag"	""	""	"LACMP23-35628"	"Capromeryx minor"	"7b"
"1957"	"NSF-18-80"	"B2/L1"	"Mammalia"	"Artiodactyla"	"Antilocapridae"	""	"cf Capromeryx"	""	"molariform tooth frag"	""	""	"LACMP23-35629"	"Mammalia-Artiodactyla"	"7b"
"1958"	"NSF-18-81"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"cf maniculatus"	"upper right M1"	""	""	"LACMP23-35630"	"Peromyscus cf maniculatus"	"7b"
"1959"	"NSF-18-82"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Reithrodontomys"	""	"lower left m1"	"occlusal surface covered"	""	"LACMP23-35631"	"Mammalia-Rodentia"	"7b"
"1960"	"NSF-18-83"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	""	""	""	"lower right m1"	"strange anterior/anteriolingual cusps"	""	"LACMP23-35632"	"Cricetidae"	"7b"
"1961"	"NSF-18-84"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"upper right M1"	""	""	"LACMP23-35633"	"Peromyscus sp"	"7b"
"1962"	"NSF-18-85"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"cf maniculatus"	"upper right M1"	""	""	"LACMP23-35634"	"Peromyscus cf maniculatus"	"7b"
"1963"	"NSF-18-86"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"upper left M1"	""	""	"LACMP23-35635"	"Peromyscus sp"	"7b"
"1964"	"NSF-18-87"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m1"	""	""	"LACMP23-35636"	"Microtus sp"	"7b"
"1965"	"NSF-18-88"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower right m1"	""	""	"LACMP23-35637"	"Microtus sp"	"7b"
"1966"	"NSF-18-89"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"left anterior dentary frag w/ incisor"	""	""	"LACMP23-35638"	"Microtus sp"	"7b"
"1967"	"NSF-18-90"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower right m1"	""	""	"LACMP23-35639"	"Microtus sp"	"7b"
"1968"	"NSF-18-91"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m1"	""	""	"LACMP23-35640"	"Microtus sp"	"7b"
"1969"	"NSF-18-92"	"B2/L1"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m1"	"juvi?"	""	"LACMP23-35641"	"Microtus sp"	"7b"
"1970"	"NSF-18-93"	"B2/L1"	"Mammalia"	"Rodentia"	"Geomyidae/Heteromyidae"	""	""	""	"juvi tooth"	""	""	"LACMP23-35642"	"Geomyidae/Heteromyidae"	"7b"
"1971"	"NSF-18-94"	"B2/L1"	"Mammalia"	"Rodentia"	"cf Heteromyidae"	"cf Dipodomyinae"	"cf Dipodomys"	""	"juvi tooth"	""	""	"LACMP23-35643"	"Mammalia-Rodentia"	"7b"
"1972"	"NSF-18-95"	"B2/L1"	"Mammalia"	"Rodentia"	"cf Geomyidae"	"cf Thomomyinae"	"cf Thomomys"	""	"tooth frag"	""	""	"LACMP23-35644"	"Mammalia-Rodentia"	"7b"
"1973"	"NSF-18-96"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"Sylvilagus"	"audubonii"	"lower right p3 frag"	"enamel band only"	""	"LACMP23-35645"	"Sylvilagus audubonii"	"7b"
"1974"	"NSF-18-97"	"B2/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	"Leporinae"	"cf Sylvilagus"	""	"upper tooth frag"	""	""	"LACMP23-35646"	"Mammalia-Lagomorpha"	"7b"
"1975"	"NSF-18-98"	"B2/L1"	"Mammalia"	""	""	""	""	""	"tooth frag"	""	""	"LACMP23-35647"	"Mammalia-"	"7b"
"1976"	"NSF-18-99"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"upper left M1"	""	""	"LACMP23-35648"	"Microtus sp"	"7b"
"1977"	"NSF-18-100"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower right m1"	""	""	"LACMP23-35649"	"Microtus sp"	"7b"
"1978"	"NSF-18-101"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m1"	""	""	"LACMP23-35650"	"Microtus sp"	"7b"
"1979"	"NSF-18-102"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower right m1"	""	""	"LACMP23-35651"	"Microtus sp"	"7b"
"1980"	"NSF-18-103"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m1 frag"	""	""	"LACMP23-35652"	"Microtus sp"	"7b"
"1981"	"NSF-18-104"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"upper left M1"	""	""	"LACMP23-35653"	"Microtus sp"	"7b"
"1982"	"NSF-18-105"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"upper right M2"	""	""	"LACMP23-35654"	"Microtus sp"	"7b"
"1983"	"NSF-18-106"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m2"	""	""	"LACMP23-35655"	"Microtus sp"	"7b"
"1984"	"NSF-18-107"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower right m2"	""	""	"LACMP23-35656"	"Microtus sp"	"7b"
"1985"	"NSF-18-108"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"upper left M3"	""	""	"LACMP23-35657"	"Microtus sp"	"7b"
"1986"	"NSF-18-109"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m1 frag"	""	""	"LACMP23-35658"	"Microtus sp"	"7b"
"1987"	"NSF-18-110"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"upper left M3"	""	""	"LACMP23-35659"	"Microtus sp"	"7b"
"1988"	"NSF-18-111"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m3"	""	""	"LACMP23-35660"	"Microtus sp"	"7b"
"1989"	"NSF-18-112"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower left m2"	""	""	"LACMP23-35661"	"Microtus sp"	"7b"
"1990"	"NSF-18-113"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"lower right m2"	""	""	"LACMP23-35662"	"Microtus sp"	"7b"
"1991"	"NSF-18-114"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"lower left m2"	""	""	"LACMP23-35663"	"Neotoma sp"	"7b"
"1992"	"NSF-18-115"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"lower right m2"	""	""	"LACMP23-35664"	"Neotoma sp"	"7b"
"1993"	"NSF-18-116"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"lower right m1"	""	""	"LACMP23-35665"	"Neotoma sp"	"7b"
"1994"	"NSF-18-117"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"upper right M3"	""	""	"LACMP23-35666"	"Neotoma sp"	"7b"
"1995"	"NSF-18-118"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"upper left M2"	""	""	"LACMP23-35667"	"Neotoma sp"	"7b"
"1996"	"NSF-18-119"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"lower right m1"	"anterior surface broken"	""	"LACMP23-35668"	"Neotoma sp"	"7b"
"1997"	"NSF-18-120"	"B2/L2"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	"sp"	"lower (left?) m3"	""	""	"LACMP23-35669"	"Neotoma sp"	"7b"
"1998"	"NSF-18-121"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"cf Otospermophilus"	"beecheyi"	"right posterior dentary frag"	""	""	"LACMP23-35670"	"cf Otospermophilus beecheyi"	"7b"
"1999"	"NSF-18-122"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"dentary frag"	""	""	"LACMP23-35671"	"Sciuridae"	"7b"
"2000"	"NSF-18-123"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Otospermophilus"	"beecheyi"	"left posterior dentary frag"	"w/ unerupted juvi m3"	""	"LACMP23-35672"	"Otospermophilus beecheyi"	"7b"
"2001"	"NSF-18-124"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Otospermophilus"	"beecheyi"	"lower right m1/m2"	""	""	"LACMP23-35673"	"Otospermophilus beecheyi"	"7b"
"2002"	"NSF-18-125"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Otospermophilus"	"beecheyi"	"lower left m1/m2"	""	""	"LACMP23-35674"	"Otospermophilus beecheyi"	"7b"
"2003"	"NSF-18-126"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"cf. Otospermophilus"	"beecheyi"	"lower left p4"	""	""	"LACMP23-35675"	"cf. Otospermophilus beecheyi"	"7b"
"2004"	"NSF-18-127"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Otospermophilus"	"beecheyi"	"lower left m1/m2"	""	""	"LACMP23-35676"	"Otospermophilus beecheyi"	"7b"
"2005"	"NSF-18-128"	"B2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"Otospermophilus"	"beecheyi"	"upper left M3"	""	""	"LACMP23-35677"	"Otospermophilus beecheyi"	"7b"
