Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats														
	NSF-19-201	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower lt m2	juv?	7/29/2019	y														
	NSF-19-202	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	surface covered	7/29/2019	y														
	NSF-19-203	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y														
	NSF-19-204	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower lt m1	"grade 1+, surface covered"	7/29/2019	y														
	NSF-19-205	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 1	7/29/2019	y														
	NSF-19-206	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower rt m1	grade 0	7/29/2019	y														
	NSF-19-207	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 1	7/29/2019	y														
	NSF-19-208	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	upper lt M2		7/29/2019	y														
	NSF-19-209	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	upper lt M2		7/29/2019	y														
	NSF-19-210	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small accessory loph	7/29/2019	y														
	NSF-19-211	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2		7/29/2019	y														
	NSF-19-212	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y														
	NSF-19-213	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lt maxillary frag		7/29/2019	y														
	NSF-19-214	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 1	7/29/2019	y														
	NSF-19-215	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2	juv?	7/29/2019	y														
	NSF-19-216	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small ant and post accessory lophs; large	7/29/2019	y														
	NSF-19-217	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0-1	7/29/2019	y														
	NSF-19-218	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2	juv?	7/29/2019	y														
	NSF-19-219	B3/L1	Mammalia	Rodentia					rt anterior dentary frag			y														
